county_clean,county_fips_full,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,renter_occupied_hh_60_64,renter_occupied_hh_65_74,renter_occupied_hh_75_84,renter_occupied_hh_85_plus
Gloucester,34015,2010,99810,83913,15897,0.8407273820258491,0.15927261797415088,599,9639,17670,20343,8742,8062,11591,5984,1283,1788,3284,4428,5040,1357,0,0,0,0
Hudson,34017,2010,207502,80579,126923,0.3883287871924126,0.6116712128075874,312,11693,16578,17612,8941,6618,9731,6133,2961,6266,44344,36138,29650,10525,0,0,0,0
Hunterdon,34019,2010,46068,40191,5877,0.8724277155509247,0.12757228444907528,0,1772,7231,12695,5676,4075,5378,2811,553,263,1978,1372,1845,419,0,0,0,0
Mercer,34021,2010,122231,88812,33419,0.7265914538864936,0.2734085461135064,238,7776,18733,22273,10791,7770,10736,7608,2887,3064,9442,7974,8893,4046,0,0,0,0
Middlesex,34023,2010,262849,185748,77101,0.706671891466203,0.293328108533797,165,14323,35180,49219,21726,19321,23492,16425,5897,5331,26951,23606,15782,5431,0,0,0,0
Monmouth,34025,2010,218593,176443,42150,0.8071758930981321,0.19282410690186785,748,11026,32657,50327,20838,17972,22881,14811,5183,3539,12431,10578,11534,4068,0,0,0,0
Morris,34027,2010,167956,137596,30360,0.8192383719545595,0.18076162804544046,85,9429,27301,37911,16822,12808,18373,10503,4364,1618,7917,9657,8368,2800,0,0,0,0
Ocean,34029,2010,211752,180097,31655,0.8505090861007216,0.1494909138992784,764,13053,25116,34547,16218,21329,32967,26178,9925,2175,10208,8057,8308,2907,0,0,0,0
Passaic,34031,2010,146527,87721,58806,0.5986678223126113,0.40133217768738866,235,6802,15938,22433,11657,8494,11223,7113,3826,3186,16261,16818,16424,6117,0,0,0,0
Salem,34033,2010,22618,17356,5262,0.7673534353170042,0.23264656468299585,72,1417,2806,4258,2082,1685,2634,2044,358,266,1006,2186,1153,651,0,0,0,0
Somerset,34035,2010,111367,93582,17785,0.8403027826914615,0.15969721730853845,123,7992,19019,26706,11286,7724,11000,6754,2978,1495,4434,5882,4071,1903,0,0,0,0
Sussex,34037,2010,53050,46489,6561,0.8763242224316682,0.12367577756833176,184,3995,9042,13142,5726,5227,5436,2619,1118,295,1330,1819,2635,482,0,0,0,0
Union,34039,2010,169096,112626,56470,0.6660476888867862,0.3339523111132138,162,8708,20930,28608,13666,11460,14512,9297,5283,2563,15471,17619,15587,5230,0,0,0,0
Warren,34041,2010,38566,31745,6821,0.8231343670590676,0.17686563294093244,185,2464,6192,9407,3056,3616,3358,2583,884,505,1677,2105,1812,722,0,0,0,0
Atlantic,34001,2011,93896,66755,27141,0.7109461531907643,0.28905384680923574,233,4616,12525,15070,6671,8585,10513,6304,2238,2152,9101,5782,7878,2228,0,0,0,0
Bergen,34003,2011,301245,212148,89097,0.7042374147288751,0.2957625852711248,409,10595,37733,54680,25395,23372,29508,20871,9585,4408,23571,27219,23763,10136,0,0,0,0
Burlington,34005,2011,157328,127371,29957,0.8095888843689617,0.19041111563103835,300,9482,21787,32361,15192,13405,18546,12441,3857,2898,9335,8294,7360,2070,0,0,0,0
Camden,34007,2011,170835,125784,45051,0.7362894020546141,0.26371059794538587,807,10725,23944,32018,14399,13837,15736,10050,4268,3061,16658,10121,10348,4863,0,0,0,0
Cape May,34009,2011,38653,30796,7857,0.7967298786640106,0.20327012133598946,177,1303,3212,7342,2873,4606,6137,3886,1260,645,2606,1438,2375,793,0,0,0,0
Cumberland,34011,2011,46328,34269,12059,0.7397038508029701,0.26029614919702987,504,2949,6175,8193,3553,3839,4818,3270,968,853,4108,3106,2838,1154,0,0,0,0
Essex,34013,2011,241007,123007,118000,0.5103876650885659,0.48961233491143413,74,7283,24373,31612,14284,11884,18269,9977,5251,6231,33845,34135,31373,12416,0,0,0,0
Gloucester,34015,2011,98749,82427,16322,0.8347122502506354,0.16528774974936455,351,7821,16210,21312,8738,9969,10092,6006,1928,1869,5505,3871,3793,1284,0,0,0,0
Hudson,34017,2011,212259,79974,132285,0.37677554308651223,0.6232244569134877,1243,10864,16421,16869,9118,6211,10331,6918,1999,7861,46412,36108,29525,12379,0,0,0,0
Hunterdon,34019,2011,45040,39847,5193,0.884702486678508,0.115297513321492,63,1581,7708,12048,4812,4184,5514,3492,445,184,1484,1231,1792,502,0,0,0,0
Mercer,34021,2011,121075,85864,35211,0.7091802601693166,0.2908197398306835,397,7295,15389,20359,11176,8963,11335,8416,2534,2405,11264,9652,8868,3022,0,0,0,0
Middlesex,34023,2011,262226,181221,81005,0.6910870775590521,0.30891292244094787,72,13294,35224,46727,22410,18899,22907,15278,6410,4606,27353,24040,18234,6772,0,0,0,0
Monmouth,34025,2011,215372,175250,40122,0.8137083743476403,0.18629162565235963,447,9779,31041,49871,22788,18669,23628,13093,5934,2740,13993,10446,9618,3325,0,0,0,0
Morris,34027,2011,171113,135385,35728,0.7912023049096212,0.20879769509037888,133,9784,24761,37880,15268,14829,16800,11920,4010,1424,12418,10035,9097,2754,0,0,0,0
Ocean,34029,2011,211653,177659,33994,0.839388054976778,0.16061194502322196,636,12957,23668,35193,15610,18830,34821,25703,10241,2641,13240,7850,6878,3385,0,0,0,0
Passaic,34031,2011,146510,87579,58931,0.5977680704388779,0.4022319295611221,124,6571,16769,20934,11682,9178,12629,7003,2689,2835,14078,19365,15876,6777,0,0,0,0
Salem,34033,2011,22968,17534,5434,0.7634099616858238,0.23659003831417624,169,1372,2745,4020,2384,1754,2651,1697,742,428,1517,1357,1592,540,0,0,0,0
Somerset,34035,2011,108081,87589,20492,0.810401458165635,0.18959854183436498,19,6306,17868,24513,9605,9652,10776,6183,2667,387,7294,6039,5263,1509,0,0,0,0
