State,County,Sub/Urb,HH_Size,Tenure,HH_Income,Supp_Weight,Relationship,Weight,Age,Education,Marital,Person_Income,Year
34,35620,2,3,2,52480,176823,1,2938.26,45,38,6,40000,2005
34,35620,2,4,1,137066,131473,1,2667.83,48,45,1,95433,2005
34,35620,2,1,1,85939,232584,2,2547.88,70,43,5,85939,2005
34,35620,2,2,1,66291,193863,1,2102.2,69,43,1,29761,2005
34,35620,2,1,1,9997,116499,2,1928.32,80,33,4,9997,2005
34,35620,2,3,1,115292,110416,1,0.0,68,43,5,52292,2005
34,35620,2,3,1,172530,300919,1,3116.3,54,43,1,24240,2005
34,35620,2,4,1,47100,140212,1,3732.23,26,39,1,3000,2005
34,35620,2,1,2,56000,310796,2,3464.48,30,39,7,56000,2005
34,35620,2,1,1,11599,323004,2,3171.92,78,33,4,11599,2005
34,35620,2,2,1,40250,322251,1,3097.12,53,44,1,40125,2005
34,35620,2,2,1,101421,305210,1,3097.12,52,44,1,53421,2005
34,35620,2,5,1,89083,300919,1,3011.35,59,39,1,63041,2005
34,35620,2,2,1,64825,343349,1,2821.04,66,42,1,64324,2005
34,35620,2,3,1,163038,181256,1,3697.9,57,43,1,150409,2005
34,35620,2,4,1,123218,176429,1,3268.63,46,43,1,3529,2005
34,35620,2,2,1,20666,304828,1,2957.55,75,40,1,10399,2005
34,35620,2,2,1,19154,304828,1,2957.55,80,37,1,13069,2005
34,35620,2,2,1,67710,282446,1,2821.04,66,39,1,42855,2005
34,35620,2,2,1,43265,339854,2,3419.92,54,40,7,42765,2005
34,35620,2,1,1,26500,323004,2,3171.92,80,39,3,26500,2005
34,35620,2,4,1,75275,184154,1,2488.06,76,39,1,29275,2005
34,35620,2,2,2,136000,194551,1,3432.3,31,44,1,128000,2005
34,35620,2,2,1,30318,240699,1,2363.67,80,39,1,13119,2005
34,35620,2,2,1,68932,240699,1,2137.6,74,39,1,16299,2005
34,35620,2,1,2,11599,129289,2,2141.69,54,40,7,11599,2005
34,35620,2,1,1,35406,193863,2,1894.63,63,39,7,35406,2005
34,35620,2,2,1,82800,256307,2,2952.63,29,43,7,48000,2005
34,35620,4,2,1,100035,223606,1,2235.22,62,43,1,17866,2005
34,35620,4,3,1,45900,226361,1,2581.69,33,39,1,29525,2005
34,35620,2,4,1,49500,143149,1,3267.47,40,40,1,49250,2005
34,35620,2,4,1,40000,125273,1,2795.08,42,38,1,40000,2005
34,35620,2,3,1,75000,159626,1,0.0,42,39,1,51000,2005
34,35620,2,1,2,35150,307836,2,3369.74,29,39,7,35150,2005
34,35620,1,3,2,13000,206158,1,0.0,31,32,7,13000,2005
34,35620,2,1,2,23400,175492,2,3290.3,57,33,7,23400,2005
34,35620,2,1,2,143500,314520,2,3097.12,50,43,6,143500,2005
34,35620,2,1,2,11657,326142,2,2957.55,80,45,4,11657,2005
34,35620,2,1,1,203243,321965,2,3115.82,56,40,7,203243,2005
34,35620,2,1,2,9600,151191,2,0.0,22,39,7,9600,2005
34,35620,2,3,2,15000,158311,1,0.0,23,39,6,0,2005
34,35620,2,3,2,143365,162311,1,3566.84,40,43,7,108109,2005
34,35620,2,1,1,50288,132265,2,3116.67,45,43,7,50288,2005
34,35620,2,3,2,0,166183,1,3194.48,41,39,7,0,2005
34,35620,2,1,1,75001,303588,2,3577.62,41,44,7,75001,2005
34,35620,2,2,1,110000,339854,1,3419.92,54,46,1,70000,2005
34,35620,2,1,2,48000,309960,2,2960.42,33,39,7,48000,2005
34,35620,2,4,1,46000,182935,1,3285.48,24,39,1,14000,2005
34,35620,2,2,1,15763,343349,1,2821.04,65,39,1,15763,2005
34,35620,2,3,1,43939,304828,1,3153.27,76,35,1,9382,2005
