cbsa_code,cbsa_name,year,age_group,owner_units_estimated,renter_units_estimated,total_age_group_units,age_group_share_of_total_units,owner_rate_within_age_group,renter_rate_within_age_group,owner_units_cps,renter_units_cps,total_units_cps,avg_hh_income_cps,avg_person_income_cps,avg_hh_size_cps,avg_age_cps,avg_education_cps,married_share_cps,cps_records,owner_rate_cps,renter_rate_cps,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,annual_change_pct,hpi
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2011,55-64,79678.0,8757.0,88435.0,0.19657464212678938,0.9009781195228134,0.09902188047718663,12726946.0,786660.0,13513606.0,124976.5268262224,57762.038161242825,2.695429628479623,59.326784131489404,40.76413697424655,0.791110233641561,56.0,0.9417875584059503,0.05821244159404973,789.0,900.0,1077.0,1317.0,1589.0,-5.37,516.095
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2011,65-74,47025.0,0.0,47025.0,0.10452787409975993,1.0,0.0,6546112.0,273668.0,6819780.0,74520.50203232362,34437.65498007267,2.2690855130224143,68.0122443832499,39.46952628970436,0.6988718111141415,30.0,0.9598714328028177,0.040128567197182316,789.0,900.0,1077.0,1317.0,1589.0,-5.37,516.095
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2011,75+,40989.0,0.0,40989.0,0.09111096292344625,1.0,0.0,3134534.0,730256.0,3864790.0,64767.25466532464,29020.79599150277,2.2440210205470414,77.46221295335582,39.54943994369681,0.5294067724248924,16.0,0.8110489832565289,0.18895101674347117,789.0,900.0,1077.0,1317.0,1589.0,-5.37,516.095
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2012,15-34,31496.0,37132.0,68628.0,0.15249785567944962,0.458938042781372,0.5410619572186279,4573222.0,6850158.0,11423380.0,53686.573050007966,24395.35641692739,3.1266308220509167,28.28861055134295,39.728699386696405,0.4230159549975576,52.0,0.40033877889031094,0.5996612211096891,788.0,899.0,1075.0,1315.0,1586.0,-4.8425,491.2375
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2012,35-44,62717.0,24568.0,87285.0,0.19395546035117972,0.7185312482098871,0.2814687517901128,10942254.0,4108826.0,15051080.0,103697.7044799443,61118.81272865469,3.8562633379132927,39.77423666607313,41.819830204875664,0.7901476837542555,84.0,0.7270078957789076,0.27299210422109244,788.0,899.0,1075.0,1315.0,1586.0,-4.8425,491.2375
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2012,45-54,91175.0,21471.0,112646.0,0.25030998208992367,0.8093940308577313,0.1906059691422687,16123248.0,3987036.0,20110284.0,125190.67569110412,82642.72738644567,3.5827688957550277,49.795046057032316,40.524862503184934,0.6310180403220561,94.0,0.801741437366076,0.19825856263392402,788.0,899.0,1075.0,1315.0,1586.0,-4.8425,491.2375
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2012,55-64,79732.0,11329.0,91061.0,0.20234608667054793,0.8755888909632005,0.12441110903679951,15921700.0,2872614.0,18794314.0,144027.79767125312,87531.01052275705,2.869459241768548,59.20680275960059,41.00511867578673,0.8048106464540286,74.0,0.8471551555433202,0.1528448444566798,788.0,899.0,1075.0,1315.0,1586.0,-4.8425,491.2375
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2012,65-74,50192.0,0.0,50192.0,0.11153133374516139,1.0,0.0,7827666.0,309516.0,8137182.0,97761.42261706816,52992.773515942004,2.5794256537459774,68.64364616644927,40.08930831336942,0.6901509638103216,34.0,0.9619627531988347,0.03803724680116532,788.0,899.0,1075.0,1315.0,1586.0,-4.8425,491.2375
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2012,75+,40214.0,0.0,40214.0,0.08935928146373764,1.0,0.0,3327912.0,0.0,3327912.0,57041.04820620257,31036.266236607218,2.0,78.23516667508035,41.417513443865104,0.4622387851601845,12.0,1.0,0.0,788.0,899.0,1075.0,1315.0,1586.0,-4.8425,491.2375
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013,15-34,28196.0,43564.0,71760.0,0.16050926350494435,0.3929208472686734,0.6070791527313266,4424930.0,6936100.0,11361030.0,61407.909487432036,30207.45204721755,3.133855645130767,28.983650778142476,40.36446079272742,0.4773982640658461,54.0,0.3894831718602979,0.6105168281397021,788.0,929.0,1119.0,1394.0,1496.0,0.09000000000000001,491.6325
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013,35-44,59132.0,24882.0,84014.0,0.18791841226455397,0.7038350751065299,0.2961649248934701,9486100.0,3772026.0,13258126.0,92259.15274240114,58021.51204099282,3.5906158985063197,39.47163603664651,41.44309655829187,0.5961706805320752,66.0,0.7154932755956611,0.2845067244043389,788.0,929.0,1119.0,1394.0,1496.0,0.09000000000000001,491.6325
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013,45-54,89199.0,21236.0,110435.0,0.24701561475987358,0.8077058903427355,0.19229410965726446,17812400.0,4412090.0,22224490.0,126550.50338567949,72296.39627689995,3.4614169324020483,49.14986746602509,41.17129706913409,0.6875927411607645,104.0,0.8014762093528356,0.19852379064716447,788.0,929.0,1119.0,1394.0,1496.0,0.09000000000000001,491.6325
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2013,55-64,81452.0,9635.0,91087.0,0.20373895324519042,0.8942220075312614,0.10577799246873867,13085486.0,2134874.0,15220360.0,98380.69068537143,50395.19936164453,2.639825602022554,59.877405659261676,40.9934436504787,0.8098096234254644,58.0,0.8597356435721626,0.14026435642783744,788.0,929.0,1119.0,1394.0,1496.0,0.09000000000000001,491.6325
