county_name,total_occupied_units,owner_occupied_total,owner_occupied_hh_15_24,owner_occupied_hh_25_34,owner_occupied_hh_35_44,owner_occupied_hh_45_54,owner_occupied_hh_55_59,owner_occupied_hh_60_64,owner_occupied_hh_65_74,owner_occupied_hh_75_84,owner_occupied_hh_85_plus,renter_occupied_total,renter_occupied_hh_15_24,renter_occupied_hh_25_34,renter_occupied_hh_35_44,renter_occupied_hh_45_54,renter_occupied_hh_55_59,state_fips,county_fips,year,county_clean,county_fips_full,owner_rate,renter_rate
"Mercer County, New Jersey",131500,88812,238,7776,18733,22273,10791,7770,10736,7608,2887,42688,3064,9442,7974,8893,4046,34,021,2010,Mercer,34021,0.6753764258555133,0.32462357414448667
"Middlesex County, New Jersey",278877,185748,165,14323,35180,49219,21726,19321,23492,16425,5897,93129,5331,26951,23606,15782,5431,34,023,2010,Middlesex,34023,0.6660570789272691,0.333942921072731
"Monmouth County, New Jersey",234582,176443,748,11026,32657,50327,20838,17972,22881,14811,5183,58139,3539,12431,10578,11534,4068,34,025,2010,Monmouth,34025,0.7521591596968225,0.24784084030317757
"Morris County, New Jersey",177786,137596,85,9429,27301,37911,16822,12808,18373,10503,4364,40190,1618,7917,9657,8368,2800,34,027,2010,Morris,34027,0.7739417051961347,0.22605829480386533
"Ocean County, New Jersey",220972,180097,764,13053,25116,34547,16218,21329,32967,26178,9925,40875,2175,10208,8057,8308,2907,34,029,2010,Ocean,34029,0.8150218127183535,0.18497818728164656
"Passaic County, New Jersey",161527,87721,235,6802,15938,22433,11657,8494,11223,7113,3826,73806,3186,16261,16818,16424,6117,34,031,2010,Passaic,34031,0.5430732942480204,0.4569267057519795
"Salem County, New Jersey",24898,17356,72,1417,2806,4258,2082,1685,2634,2044,358,7542,266,1006,2186,1153,651,34,033,2010,Salem,34033,0.6970841031408145,0.30291589685918546
"Somerset County, New Jersey",115913,93582,123,7992,19019,26706,11286,7724,11000,6754,2978,22331,1495,4434,5882,4071,1903,34,035,2010,Somerset,34035,0.8073468894774529,0.19265311052254708
"Sussex County, New Jersey",54881,46489,184,3995,9042,13142,5726,5227,5436,2619,1118,8392,295,1330,1819,2635,482,34,037,2010,Sussex,34037,0.8470873344144604,0.15291266558553962
"Union County, New Jersey",183882,112626,162,8708,20930,28608,13666,11460,14512,9297,5283,71256,2563,15471,17619,15587,5230,34,039,2010,Union,34039,0.6124906189839135,0.3875093810160864
"Warren County, New Jersey",41208,31745,185,2464,6192,9407,3056,3616,3358,2583,884,9463,505,1677,2105,1812,722,34,041,2010,Warren,34041,0.7703601242477189,0.22963987575228112
"Atlantic County, New Jersey",99762,66755,233,4616,12525,15070,6671,8585,10513,6304,2238,33007,2152,9101,5782,7878,2228,34,001,2011,Atlantic,34001,0.6691425592911129,0.3308574407088872
"Bergen County, New Jersey",329544,212148,409,10595,37733,54680,25395,23372,29508,20871,9585,117396,4408,23571,27219,23763,10136,34,003,2011,Bergen,34003,0.6437622897094166,0.3562377102905834
"Burlington County, New Jersey",164760,127371,300,9482,21787,32361,15192,13405,18546,12441,3857,37389,2898,9335,8294,7360,2070,34,005,2011,Burlington,34005,0.7730699198834668,0.22693008011653315
"Camden County, New Jersey",185691,125784,807,10725,23944,32018,14399,13837,15736,10050,4268,59907,3061,16658,10121,10348,4863,34,007,2011,Camden,34007,0.6773833949949108,0.3226166050050891
"Cape May County, New Jersey",41082,30796,177,1303,3212,7342,2873,4606,6137,3886,1260,10286,645,2606,1438,2375,793,34,009,2011,Cape May,34009,0.7496227058078964,0.2503772941921036
"Cumberland County, New Jersey",49716,34269,504,2949,6175,8193,3553,3839,4818,3270,968,15447,853,4108,3106,2838,1154,34,011,2011,Cumberland,34011,0.6892951967173546,0.31070480328264544
"Essex County, New Jersey",273399,123007,74,7283,24373,31612,14284,11884,18269,9977,5251,150392,6231,33845,34135,31373,12416,34,013,2011,Essex,34013,0.44991751981536143,0.5500824801846386
