county_fips,county,year,total_occupied_units,owner_occupied_total,renter_occupied_total,owner_rate,renter_rate,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br,annual_change_pct,hpi
34013,Essex,2011,273399,123007,150392,0.4499175198153614,0.5500824801846386,883,1079,1233,1476,1632,-3.8,854.07
34015,Gloucester,2011,103725,82427,21298,0.7946685948421306,0.2053314051578693,789,900,1077,1317,1589,-5.9,541.26
34017,Hudson,2011,243850,79974,163876,0.3279639122411318,0.6720360877588681,976,1031,1203,1458,1570,-3.9,774.73
34019,Hunterdon,2011,46741,39847,6894,0.8525063648616846,0.1474936351383154,1188,1232,1449,1818,2145,-3.48,709.94
34021,Mercer,2011,130756,85864,44892,0.6566734987304598,0.3433265012695402,885,1018,1224,1463,1641,-4.41,710.82
34023,Middlesex,2011,278920,181221,97699,0.6497239351785459,0.3502760648214542,1188,1232,1449,1818,2145,-4.23,612.18
34025,Monmouth,2011,231198,175250,55948,0.758008287268921,0.241991712731079,949,1097,1339,1745,1893,-3.88,784.84
34027,Morris,2011,182745,135385,47360,0.7408410626829736,0.2591589373170264,883,1079,1233,1476,1632,-3.89,848.01
34029,Ocean,2011,222079,177659,44420,0.7999810878110942,0.2000189121889057,949,1097,1339,1745,1893,-4.76,702.2
34031,Passaic,2011,163192,87579,75613,0.5366623363890387,0.4633376636109613,1195,1307,1494,1884,2281,-5.58,728.32
34033,Salem,2011,24656,17534,7122,0.711145360155743,0.2888546398442569,789,900,1077,1317,1589,-4.09,432.16
34035,Somerset,2011,114323,87589,26734,0.7661537923252539,0.2338462076747461,1188,1232,1449,1818,2145,-2.98,703.67
34037,Sussex,2011,54746,45764,8982,0.8359332188653052,0.1640667811346947,883,1079,1233,1476,1632,-5.51,651.01
34039,Union,2011,184598,111620,72978,0.6046652726465076,0.3953347273534924,883,1079,1233,1476,1632,-3.01,796.57
34041,Warren,2011,42146,32637,9509,0.7743795377971813,0.2256204622028187,794,888,1039,1244,1280,-6.06,563.92
34001,Atlantic,2012,100065,64897,35168,0.6485484435117174,0.3514515564882826,852,939,1120,1420,1593,-5.71,616.62
34003,Bergen,2012,336856,219807,117049,0.6525251145890232,0.3474748854109768,1212,1326,1515,1910,2313,-2.54,826.39
34005,Burlington,2012,164819,126351,38468,0.7666045783556508,0.2333954216443492,788,899,1075,1315,1586,-3.97,576.74
34007,Camden,2012,185477,126421,59056,0.6815993357666988,0.3184006642333011,788,899,1075,1315,1586,-5.16,465.1
34009,Cape May,2012,40470,29689,10781,0.7336051396095874,0.2663948603904126,841,858,1079,1413,1456,-2.01,815.5
34011,Cumberland,2012,50068,34006,16062,0.6791962930414636,0.3208037069585364,804,807,1017,1236,1302,-3.73,486.16
34013,Essex,2012,279102,126170,152932,0.4520569540884694,0.5479430459115305,923,1128,1289,1543,1707,-2.69,831.13
34015,Gloucester,2012,104691,85156,19535,0.8134032533837675,0.1865967466162325,788,899,1075,1315,1586,-5.53,511.32
34017,Hudson,2012,249028,79888,169140,0.3207992675522431,0.6792007324477569,1027,1085,1266,1534,1652,-5.1,735.23
34019,Hunterdon,2012,47227,38620,8607,0.8177525568001355,0.1822474431998645,1086,1125,1324,1662,1960,-3.7,683.68
34021,Mercer,2012,132004,86024,45980,0.6516772219023665,0.3483227780976334,916,1054,1267,1514,1699,-4.48,678.97
34023,Middlesex,2012,283337,187331,96006,0.661159679110035,0.3388403208899649,1086,1125,1324,1662,1960,-4.02,587.57
34025,Monmouth,2012,236447,177977,58470,0.7527141388979348,0.2472858611020651,1005,1161,1417,1846,2004,-2.94,761.77
34027,Morris,2012,179876,136458,43418,0.7586226066846049,0.241377393315395,923,1128,1289,1543,1707,-2.56,826.33
34029,Ocean,2012,223599,182764,40835,0.8173739596330931,0.1826260403669068,1005,1161,1417,1846,2004,-4.49,670.7
34031,Passaic,2012,163712,86544,77168,0.528635652853792,0.4713643471462079,1212,1326,1515,1910,2313,-4.32,696.88
34033,Salem,2012,24861,17598,7263,0.7078556775672741,0.292144322432726,788,899,1075,1315,1586,-4.71,411.79
34035,Somerset,2012,116840,89911,26929,0.7695224238274564,0.2304775761725436,1086,1125,1324,1662,1960,-2.11,688.79
34037,Sussex,2012,54179,46098,8081,0.8508462688495543,0.1491537311504457,923,1128,1289,1543,1707,-6.12,611.18
34039,Union,2012,184879,109258,75621,0.5909703103110683,0.4090296896889316,923,1128,1289,1543,1707,-2.86,773.82
34041,Warren,2012,41262,30513,10749,0.7394939653918859,0.260506034608114,849,950,1111,1330,1369,-7.51,521.58
34001,Atlantic,2013,101721,67645,34076,0.6650052594842756,0.3349947405157243,815,944,1173,1622,1885,0.05,616.95
34003,Bergen,2013,338063,218300,119763,0.6457376287851673,0.3542623712148327,1132,1223,1450,1878,2130,0.63,831.57
34005,Burlington,2013,162245,127368,34877,0.7850349779654227,0.2149650220345773,788,929,1119,1394,1496,-0.22,575.5
34007,Camden,2013,185774,122583,63191,0.6598501404932875,0.3401498595067124,788,929,1119,1394,1496,0.05,465.35
34009,Cape May,2013,38210,30288,7922,0.792672075372939,0.2073279246270609,606,756,1019,1442,1517,0.1,816.34
34011,Cumberland,2013,50066,31524,18542,0.6296488635001798,0.3703511364998202,769,888,1094,1405,1761,-2.1,475.95
34013,Essex,2013,277102,124505,152597,0.4493110840051678,0.5506889159948323,971,1007,1202,1550,1772,0.63,836.34
34015,Gloucester,2013,103864,80754,23110,0.7774974967264885,0.2225025032735115,788,929,1119,1394,1496,0.39,513.31
34017,Hudson,2013,247490,75428,172062,0.3047719099761606,0.6952280900238393,1014,1115,1322,1682,1857,2.52,753.74
34019,Hunterdon,2013,45792,39090,6702,0.8536425576519916,0.1463574423480083,904,1153,1420,1843,2417,0.04,683.93
34021,Mercer,2013,131623,84223,47400,0.6398805679858384,0.3601194320141616,886,1001,1206,1577,1823,0.25,680.63
34023,Middlesex,2013,283211,179511,103700,0.6338419058581765,0.3661580941418236,904,1153,1420,1843,2417,0.95,593.14
34025,Monmouth,2013,232158,171083,61075,0.736924852901903,0.263075147098097,961,1135,1410,1955,2299,1.38,772.25
34027,Morris,2013,178951,135135,43816,0.7551508513503696,0.2448491486496303,971,1007,1202,1550,1772,0.56,830.96
34029,Ocean,2013,217698,174290,43408,0.8006045071612968,0.1993954928387031,961,1135,1410,1955,2299,0.86,676.44
34031,Passaic,2013,161331,86520,74811,0.53628874797776,0.46371125202224,1132,1223,1450,1878,2130,-0.54,693.15
34033,Salem,2013,24280,17055,7225,0.7024299835255354,0.2975700164744645,788,929,1119,1394,1496,0.14,412.37
34035,Somerset,2013,112974,87926,25048,0.7782852691769788,0.2217147308230212,904,1153,1420,1843,2417,0.32,690.97
34037,Sussex,2013,54765,45727,9038,0.8349675887884598,0.1650324112115402,971,1007,1202,1550,1772,-1.15,604.15
34039,Union,2013,186951,106359,80592,0.5689137795465122,0.4310862204534878,971,1007,1202,1550,1772,0.4,776.9
34041,Warren,2013,41870,28909,12961,0.690446620491999,0.3095533795080009,659,884,1078,1409,1571,0.44,523.86
34001,Atlantic,2014,101937,67981,33956,0.6668922962221765,0.3331077037778235,792,917,1139,1575,1830,-0.79,612.07
34003,Bergen,2014,337469,212605,124864,0.6299986072794834,0.3700013927205166,1094,1182,1402,1816,2059,3.33,859.29
34005,Burlington,2014,165424,124823,40601,0.7545640294032305,0.2454359705967695,799,942,1135,1414,1518,1.89,586.39
34007,Camden,2014,188064,125909,62155,0.6695008082354943,0.3304991917645057,799,942,1135,1414,1518,1.61,472.82
34009,Cape May,2014,40779,30995,9784,0.7600725863802448,0.2399274136197552,610,761,1025,1451,1526,-1.58,803.42
34011,Cumberland,2014,50593,31321,19272,0.6190777380269998,0.3809222619730002,753,870,1071,1375,1724,-1.15,470.46
34013,Essex,2014,277735,121379,156356,0.4370317028822438,0.5629682971177561,1022,1059,1265,1632,1865,5.0,878.13
34015,Gloucester,2014,104305,81414,22891,0.7805378457408562,0.2194621542591438,799,942,1135,1414,1518,2.11,524.15
34017,Hudson,2014,253300,74355,178945,0.2935452033162258,0.7064547966837742,990,1089,1291,1643,1813,5.0,791.43
34019,Hunterdon,2014,47387,39485,7902,0.8332454048578725,0.1667545951421276,928,1184,1458,1892,2482,2.36,700.05
34021,Mercer,2014,131564,83605,47959,0.6354701894135174,0.3645298105864826,900,1017,1225,1602,1852,1.1,688.13
34023,Middlesex,2014,282860,176428,106432,0.6237290532418864,0.3762709467581135,928,1184,1458,1892,2482,3.64,614.74
34025,Monmouth,2014,230391,168331,62060,0.7306318389173189,0.2693681610826812,917,1083,1345,1865,2193,4.28,805.27
