Merge,State,Sub/Urb,HH_Size,Tenure,HH_Income,Supp_Weight,Relationship,Weight,Age,Education,Marital,Person_Income,Year,County
88941,22,4,8,1,3732,142248,1,2468.19,23,34,7,3732,1994,
88958,22,4,5,1,14230,140693,1,2208.91,40,39,1,130,1994,
91861,22,4,3,1,17477,125015,1,0.0,35,37,6,17477,1994,
91863,22,4,3,2,72000,173704,1,0.0,48,39,1,57000,1994,
91879,22,4,2,1,66101,135996,1,0.0,66,40,1,35011,1994,
95169,22,4,2,1,113100,109871,1,2334.53,32,43,1,53050,1994,
95170,22,4,3,1,105694,109553,1,2592.1,51,43,1,68283,1994,
95171,22,4,2,2,0,114330,1,2392.99,25,44,7,0,1994,
95172,22,4,2,2,49100,101250,2,3652.69,21,39,7,37000,1994,
95195,22,4,4,1,200848,109553,1,2326.51,46,41,1,202,1994,
98555,22,4,1,1,42000,140841,2,3292.58,46,41,4,42000,1994,
98556,22,4,3,1,152902,111351,1,2671.58,38,43,1,151361,1994,
1350,22,4,2,1,17656,247906,1,2154.08,70,39,1,13412,1994,
2025,22,4,5,2,42720,107640,2,2311.34,29,39,7,9000,1994,
11966,22,4,1,1,13721,228451,2,2246.68,66,39,4,13721,1994,
15316,22,4,4,1,75800,88032,1,1938.06,36,40,1,25200,1994,
26427,22,4,2,2,0,118582,1,2615.07,46,35,4,0,1994,
35955,22,4,3,2,20000,112673,1,2573.59,39,39,6,20000,1994,
39699,22,4,1,1,24999,222566,2,2216.91,51,44,7,24999,1994,
39700,22,4,4,1,110215,128048,1,2588.15,43,41,1,46423,1994,
54956,22,4,2,1,26716,284018,1,2293.74,79,39,1,21296,1994,
57945,22,4,6,2,55200,109407,1,3126.9,34,39,1,34000,1994,
58310,22,4,1,1,24958,254145,2,2588.61,72,42,4,24958,1994,
63047,22,4,3,1,39640,107808,1,2031.85,76,39,4,23000,1994,
66185,22,4,3,1,108266,101550,1,2279.25,32,39,7,65000,1994,
66841,22,4,1,1,18200,121693,2,2923.03,39,40,3,18200,1994,
70899,22,4,4,1,130000,90973,1,0.0,33,40,1,60000,1994,
71096,22,4,1,1,54000,139247,2,2709.97,48,40,5,54000,1994,
71243,22,4,5,1,158761,120361,1,2306.38,41,40,1,125745,1994,
71866,22,4,1,1,25000,241585,2,2441.01,26,41,7,25000,1994,
72042,22,4,1,2,47800,73619,2,2122.21,27,39,7,47800,1994,
81821,22,4,4,1,39000,156209,1,0.0,36,40,1,24000,1994,
81822,22,4,3,1,40038,142783,1,0.0,38,39,5,40038,1994,
85691,22,4,3,2,53500,140072,1,2552.68,46,41,7,26500,1994,
85692,22,4,2,2,14569,129326,1,2770.06,22,40,7,14569,1994,
85693,22,4,1,1,0,158495,2,1738.34,58,34,6,0,1994,
85694,22,4,2,1,43788,131985,1,1738.34,56,39,1,15780,1994,
94374,22,4,6,2,11084,124656,1,2248.72,29,37,7,3000,1994,
94375,22,4,2,1,40000,141585,1,2375.37,32,39,7,40000,1994,
94376,22,4,1,2,0,141585,2,2375.37,31,39,3,0,1994,
97730,22,4,3,2,68399,149880,1,3920.44,68,37,1,40027,1994,
97731,22,4,4,2,26464,158198,1,4336.95,48,43,1,20122,1994,
33,22,4,2,2,21600,142540,1,3706.59,25,40,7,21600,1994,
84,22,4,1,1,71937,245593,2,2471.41,60,41,4,71937,1994,
303,22,4,1,2,15000,113317,2,0.0,29,33,7,15000,1994,
385,22,4,4,1,28000,112444,1,0.0,45,33,1,28000,1994,
386,22,4,6,1,112000,125175,1,0.0,49,33,1,24000,1994,
1697,22,4,4,1,24800,99258,1,2299.18,48,33,1,21600,1994,
1698,22,4,5,1,50000,128048,1,2255.98,42,39,1,0,1994,
3886,22,4,6,1,73290,166856,1,3569.22,30,39,1,32090,1994,
4814,22,4,1,1,49000,216783,2,2286.0,36,42,5,49000,1994,
4815,22,4,1,1,28600,234697,2,2480.93,53,43,7,28600,1994,
4816,22,4,3,1,86000,123646,1,2079.45,48,39,1,46000,1994,
4817,22,4,2,1,66109,225036,1,2380.9,64,39,4,31504,1994,
8567,22,4,3,2,52000,131683,2,0.0,37,40,7,24000,1994,
10095,22,4,2,2,78043,234248,1,2274.17,53,39,4,58043,1994,
10707,22,4,3,2,15000,135640,1,2588.15,42,39,5,15000,1994,
13351,22,4,3,2,41144,106611,1,2578.34,40,39,4,20400,1994,
13352,22,4,2,2,32000,112821,1,2497.14,52,33,1,26000,1994,
13353,22,4,2,2,49600,230578,1,2312.41,50,39,5,24500,1994,
13836,22,4,1,1,72615,230578,2,2312.41,53,44,5,72615,1994,
13837,22,4,3,1,161100,151894,1,2830.04,29,44,1,78050,1994,
14581,22,4,2,1,85683,246435,1,2345.81,60,39,7,55594,1994,
14797,22,4,2,1,47221,125386,1,2287.14,45,39,6,37793,1994,
