county_clean,county_fips_full,year,age_group,owner_units_estimated,renter_units_estimated,total_age_group_units,age_group_share_of_total_units,owner_rate_within_age_group,renter_rate_within_age_group
Burlington,34005,2006,60-64,12272.0,0.0,12272.0,0.07518410057221277,1.0,0.0
Burlington,34005,2006,65-74,15312.0,0.0,15312.0,0.09380858441669832,1.0,0.0
Burlington,34005,2006,75-84,10603.0,0.0,10603.0,0.06495901388259223,1.0,0.0
Burlington,34005,2006,85+,2364.0,0.0,2364.0,0.01448298677906706,1.0,0.0
Camden,34007,2006,15-24,1686.0,3937.0,5623.0,0.029673136391940812,0.29983994309087675,0.7001600569091232
Camden,34007,2006,25-34,14284.0,14199.0,28483.0,0.15030765496205764,0.5014921181055366,0.4985078818944634
Camden,34007,2006,35-44,30381.0,9955.0,40336.0,0.21285712777971272,0.7531981356604522,0.2468018643395478
Camden,34007,2006,45-54,33856.0,10467.0,44323.0,0.23389692767205986,0.7638472125081786,0.2361527874918214
Camden,34007,2006,55-59,15493.0,2877.0,18370.0,0.09694033710118313,0.8433859553620032,0.15661404463799675
Camden,34007,2006,60-64,10694.0,0.0,10694.0,0.05643331328035124,1.0,0.0
Camden,34007,2006,65-74,14354.0,0.0,14354.0,0.07574750129288964,1.0,0.0
Camden,34007,2006,75-84,10318.0,0.0,10318.0,0.05444912347359867,1.0,0.0
Camden,34007,2006,85+,3089.0,0.0,3089.0,0.016300963598560408,1.0,0.0
Cape May,34009,2006,15-24,692.0,1290.0,1982.0,0.04335557256917861,0.3491422805247225,0.6508577194752775
Cape May,34009,2006,25-34,2648.0,3945.0,6593.0,0.144219621568413,0.4016381010162293,0.5983618989837707
Cape May,34009,2006,35-44,5464.0,2476.0,7940.0,0.17368478617521602,0.68816120906801,0.3118387909319899
Cape May,34009,2006,45-54,6617.0,1535.0,8152.0,0.1783222137154107,0.811702649656526,0.188297350343474
Cape May,34009,2006,55-59,2483.0,376.0,2859.0,0.06253964781800285,0.8684854844351172,0.13151451556488283
Cape May,34009,2006,60-64,3428.0,0.0,3428.0,0.0749863283386197,1.0,0.0
Cape May,34009,2006,65-74,5683.0,0.0,5683.0,0.1243136825987094,1.0,0.0
Cape May,34009,2006,75-84,4651.0,0.0,4651.0,0.101739035327573,1.0,0.0
Cape May,34009,2006,85+,1905.0,0.0,1905.0,0.04167122388712676,1.0,0.0
Cumberland,34011,2006,15-24,194.0,1453.0,1647.0,0.03290906547845026,0.1177899210686096,0.8822100789313904
Cumberland,34011,2006,25-34,4996.0,4060.0,9056.0,0.1809499070873379,0.551678445229682,0.44832155477031804
Cumberland,34011,2006,35-44,6808.0,4192.0,11000.0,0.21979339420944313,0.618909090909091,0.3810909090909091
Cumberland,34011,2006,45-54,7332.0,2263.0,9595.0,0.1917197834036006,0.7641479937467431,0.23585200625325692
Cumberland,34011,2006,55-59,3688.0,1255.0,4943.0,0.09876715887066158,0.7461056038842808,0.2538943961157192
Cumberland,34011,2006,60-64,2415.0,0.0,2415.0,0.04825464063780047,1.0,0.0
Cumberland,34011,2006,65-74,4009.0,0.0,4009.0,0.08010470158051432,1.0,0.0
Cumberland,34011,2006,75-84,2967.0,0.0,2967.0,0.05928427278358343,1.0,0.0
Cumberland,34011,2006,85+,927.0,0.0,927.0,0.018522588766559434,1.0,0.0
Essex,34013,2006,15-24,556.0,7833.0,8389.0,0.030082872234753266,0.06627726785075694,0.9337227321492431
Essex,34013,2006,25-34,11569.0,32310.0,43879.0,0.15734966632360695,0.26365687458693227,0.7363431254130678
Essex,34013,2006,35-44,28632.0,34707.0,63339.0,0.2271330366524064,0.4520437645052811,0.547956235494719
Essex,34013,2006,45-54,33248.0,26660.0,59908.0,0.21482950409340787,0.5549843092742205,0.4450156907257795
Essex,34013,2006,55-59,16123.0,11202.0,27325.0,0.09798718367083478,0.5900457456541629,0.40995425434583715
Essex,34013,2006,60-64,11419.0,0.0,11419.0,0.0409484227021871,1.0,0.0
Essex,34013,2006,65-74,16777.0,0.0,16777.0,0.060162158479253255,1.0,0.0
Essex,34013,2006,75-84,11422.0,0.0,11422.0,0.04095918067294693,1.0,0.0
Essex,34013,2006,85+,4246.0,0.0,4246.0,0.015226114615420476,1.0,0.0
Gloucester,34015,2006,15-24,833.0,1740.0,2573.0,0.025917904809871568,0.32374659930042754,0.6762534006995725
Gloucester,34015,2006,25-34,10366.0,5192.0,15558.0,0.15671619239486276,0.666281012983674,0.333718987016326
Gloucester,34015,2006,35-44,18459.0,3069.0,21528.0,0.21685217829262152,0.8574414715719063,0.14255852842809363
Gloucester,34015,2006,45-54,21731.0,2271.0,24002.0,0.24177285318559558,0.9053828847596034,0.09461711524039663
Gloucester,34015,2006,55-59,8183.0,1070.0,9253.0,0.09320574162679426,0.884361828596131,0.11563817140386902
